row_id,name,startdate,enddate,location,description,eventattendancemode,offers,organizer,performer,page_url
566,14,131,127,0,18,0,0,0,0,624
567,53,93,88,0,24,0,0,0,0,1033
568,20,96,91,0,20,0,0,0,0,1033
569,15,110,103,0,14,0,0,0,0,1033
570,18,120,122,0,88,0,0,0,0,1033
571,18,120,122,0,88,0,0,0,0,1033
572,4,126,123,0,28,0,0,0,0,1033
573,14,131,127,0,18,0,0,0,0,1033
574,53,93,88,0,24,0,0,0,0,1196
575,20,96,91,0,20,0,0,0,0,1196
576,15,110,103,0,14,0,0,0,0,1196
577,18,120,122,0,88,0,0,0,0,1196
578,18,120,122,0,88,0,0,0,0,1196
579,4,126,123,0,28,0,0,0,0,1196
580,14,131,127,0,18,0,0,0,0,1196
581,53,93,88,0,24,0,0,0,0,1023
582,20,96,91,0,20,0,0,0,0,1023
583,15,110,103,0,14,0,0,0,0,1023
584,18,120,122,0,88,0,0,0,0,1023
585,18,120,122,0,88,0,0,0,0,1023
586,4,126,123,0,28,0,0,0,0,1023
587,14,131,127,0,18,0,0,0,0,1023
588,24,127,125,0,93,0,1,0,0,307
589,53,93,88,0,24,0,0,0,0,656
590,20,96,91,0,20,0,0,0,0,656
591,15,110,103,0,14,0,0,0,0,656
592,18,120,122,0,88,0,0,0,0,656
593,18,120,122,0,88,0,0,0,0,656
594,4,126,123,0,28,0,0,0,0,656
595,14,131,127,0,18,0,0,0,0,656
596,53,93,88,0,24,0,0,0,0,700
597,20,96,91,0,20,0,0,0,0,700
598,15,110,103,0,14,0,0,0,0,700
599,18,120,122,0,88,0,0,0,0,700
600,18,120,122,0,88,0,0,0,0,700
601,4,126,123,0,28,0,0,0,0,700
602,14,131,127,0,18,0,0,0,0,700
603,53,93,88,0,24,0,0,0,0,1095
604,20,96,91,0,20,0,0,0,0,1095
605,15,110,103,0,14,0,0,0,0,1095
606,18,120,122,0,88,0,0,0,0,1095
607,18,120,122,0,88,0,0,0,0,1095
608,4,126,123,0,28,0,0,0,0,1095
609,14,131,127,0,18,0,0,0,0,1095
610,53,93,88,0,24,0,0,0,0,856
611,20,96,91,0,20,0,0,0,0,856
612,15,110,103,0,14,0,0,0,0,856
613,18,120,122,0,88,0,0,0,0,856
