name,recipeinstructions,author,recipeingredient,recipeyield,preptime,keywords,aggregaterating,nutrition,inlanguage,yield
12945,-1,1,-1,3988,5716,-1,-1,-1,1,3962
12946,-1,1,-1,-1,5717,-1,-1,-1,1,-1
12947,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12948,-1,1,-1,-1,5718,-1,-1,-1,1,-1
12949,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12950,-1,1,-1,-1,5719,-1,-1,-1,1,-1
12951,-1,1,-1,3988,5720,-1,-1,-1,1,3962
12952,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12953,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12954,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12955,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12956,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12957,-1,1,-1,-1,-1,834,-1,-1,1,-1
12958,-1,1,-1,3989,5721,-1,-1,-1,1,3963
12959,-1,1,-1,3990,5722,-1,-1,-1,1,3964
12960,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12961,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12962,-1,1,-1,3991,-1,-1,-1,-1,1,3965
12963,-1,1,-1,3991,5723,-1,-1,-1,1,3965
12964,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12965,-1,1,-1,3991,-1,-1,-1,-1,1,3965
12966,-1,1,-1,3992,5723,-1,-1,-1,1,3966
12967,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12968,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12969,-1,1,-1,3993,5724,835,-1,-1,1,3967
12970,-1,1,-1,3994,5725,836,-1,-1,1,3968
12971,-1,1,-1,-1,5726,-1,-1,-1,1,-1
12972,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12973,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12974,-1,1,-1,3995,5727,-1,-1,-1,1,3969
12975,-1,1,-1,3996,5728,-1,-1,-1,1,3970
12976,-1,1,-1,3997,5729,-1,-1,-1,1,3971
12977,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12978,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12979,-1,1,-1,-1,5730,-1,-1,-1,1,-1
12980,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12981,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12982,-1,1,-1,-1,5731,-1,-1,-1,1,-1
12983,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12984,-1,1,-1,-1,5732,-1,-1,-1,1,-1
12985,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12986,-1,1,-1,3998,5733,-1,-1,-1,1,3972
12987,-1,1,-1,3999,5734,-1,-1,-1,1,3973
12988,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12989,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12990,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12991,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12992,-1,1,-1,-1,5735,-1,-1,-1,1,-1
12993,-1,1,-1,4000,5736,-1,-1,-1,1,3974
12994,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12995,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12996,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12997,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12998,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12999,-1,1,-1,4001,5736,-1,-1,-1,1,3975
13000,-1,1,-1,-1,-1,-1,-1,-1,1,-1
13001,-1,1,-1,-1,5737,-1,-1,-1,1,-1
13002,-1,1,-1,-1,-1,-1,-1,-1,1,-1
13003,-1,1,-1,4002,5738,-1,-1,-1,1,3976
13004,-1,1,-1,-1,5739,-1,-1,-1,1,-1
13005,-1,1,-1,4003,5740,-1,-1,-1,1,3977
13006,-1,1,-1,-1,-1,837,-1,-1,1,-1
